"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2021-71-6/07/2022","02",0,"SA","Utility","2015","North","Female","044","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5021",,
"2021-72-6/07/2022","01",0,"SA","Motor Cars - Sedan","2015","West","Female","090","SA","C ","Full","Not Towing","Straight Ahead","001","5039",,
"2021-72-6/07/2022","02",0,,"Pedestrian on Road",,"North","Female","XXX",,,,,"Crossing without Control",,"XXXX",,
"2021-73-6/07/2022","01",0,"SA","Motor Cars - Sedan","2014","West","Male","031","O/S","XX","Full","Not Towing","Straight Ahead","001","5074",,
"2021-73-6/07/2022","02",0,"SA","Motor Cars - Sedan","2008","West","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Straight Ahead","001","XXXX",,
"2021-74-6/07/2022","01",1,"SA","Motor Cars - Sedan","2011","South","Male","050","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5169",,
"2021-74-6/07/2022","02",0,"SA","Station Wagon","2008","South","Male","045","SA","HR","Full","Not Towing","Straight Ahead","001","5162",,
"2021-75-6/07/2022","01",1,"SA","Motor Cars - Sedan","2010","East","Male","034","SA","C ","Full","Not Towing","Straight Ahead","004","5086",,
"2021-75-6/07/2022","02",0,"SA","Motor Cars - Sedan","2004","South","Male","066","SA","C ","Full","Not Towing","Straight Ahead","001","5081",,
"2021-76-6/07/2022","01",1,"SA","Scooter","2018","North West","Male","023","O/S","XX","Unknown","Not Towing","Straight Ahead","001","5012","Y",
"2021-77-6/07/2022","01",0,"SA","Motor Cycle","2013","North East","Male","020","SA","C R ","Provisional 2","Not Towing","Straight Ahead","001","5108",,
"2021-77-6/07/2022","02",0,"SA","Motor Cars - Sedan","2007","South East","Male","053","SA","C ","Full","Not Towing","Right Turn","001","5096",,
"2021-78-6/07/2022","01",1,"SA","Panel Van","2013","West","Male","026","SA","HR","Full","Not Towing","Entering Private Driveway","001","5042",,
"2021-78-6/07/2022","02",0,"SA","Station Wagon","2004","West","Female","047","SA","C ","Full","Not Towing","Straight Ahead","001","5067",,
"2021-79-6/07/2022","01",0,"SA","Station Wagon","2004","East","Female","043","SA","C ","Provisional 1 ","Not Towing","Right Turn","002","5016",,
"2021-79-6/07/2022","02",0,"SA","Motor Cars - Sedan","2013","West","Female","054","SA","C ","Full","Not Towing","Straight Ahead","001","5018",,
"2021-80-6/07/2022","01",1,,"Pedal Cycle",,"South West","Male","047",,,,,"Straight Ahead","001","5043","Y",
"2021-81-6/07/2022","01",0,"SA","BDOUBLE - ROAD TRAIN","2020","North West","Male","028","SA","MCRD","Full",,"Straight Ahead","001","5652",,
